title,company,location,salary,skills,description,url
"Data Analyst Intern/Co-Op (Undergrad | Fall, 2025 | Onsite/Hybrid | 4 months)",Advanced Micro Devices,Markham,$45K - $71K (Employer provided),"Power BI, Azure, Oracle, Kubernetes, R","Software development (including design, implementation, testing, and other related work). Your responsibility will be to analyze and organize raw data to craft…&hellip;...","https://www.glassdoor.ca/job-listing/data-analyst-intern-co-op-undergrad-fall-2025-onsite-hybrid-4-months-advanced-micro-devices-JV_IC2280736_KO0,68_KE69,91.htm?jl=1009760823535"
"Junior Conversational AI Design, Intern",Cresta Intelligence,Toronto,$30.00 - $50.00 Per hour (Employer provided),"Natural language processing, AI, Communication skills, Python, Linguistics","You may also work directly with customers to get alignment on our overall solution design and to enable customers to build their own models using Cresta Opera,…&hellip;...","https://www.glassdoor.ca/job-listing/junior-conversational-ai-design-intern-cresta-intelligence-JV_IC2281069_KO0,38_KE39,58.htm?jl=1009758778022"
Data Science/ Machine Learning Co-op (8 Month - Hybrid),Oncoustics,Toronto,$55K - $155K (Glassdoor Est.),"MATLAB, Signal processing, Python","Eligible applicants should be in their second year or beyond in a computer engineering or medical based field, and have some programming experience.&hellip;...","https://www.glassdoor.ca/job-listing/data-science-machine-learning-co-op-8-month-hybrid-oncoustics-JV_IC2281069_KO0,50_KE51,61.htm?jl=1009687679922"
Data Scientist Intern,Interac Corp.,Toronto,Not specified,"Oracle, Data mining, Data analysis skills, Databases, SQL","You are currently enrolled in a university or college program with a track record of academic excellence in a relevant discipline, like statistics, quantative…&hellip;...","https://www.glassdoor.ca/job-listing/data-scientist-intern-interac-corp-JV_IC2281069_KO0,21_KE22,34.htm?jl=1009804208977"
"Amazon Robotics - Applied Scientist I Intern / Co-op - 2025, Scanless Technologies","Amazon Canada Fulfillment Services, ULC - B85",Toronto,$157K - $192K (Glassdoor Est.),"Research, Java, C++, Machine learning, Algorithm design","Currently enrolled in a Master's or PhD program in Computer Science, Robotics, Engineering, Machine Learning, Operations Research, Mathematics, or a related…&hellip;...","https://www.glassdoor.ca/job-listing/amazon-robotics-applied-scientist-i-intern-co-op-2025-scanless-technologies-amazon-canada-fulfillment-services-ulc-b85-JV_IC2281069_KO0,75_KE76,118.htm?jl=1009693498246"
Fall 2025 Generative AI Co-op (Sept - Dec 2025 term),CGI,Toronto,$80K - $85K (Glassdoor Est.),"Azure, Google Cloud Platform, Databases, SQL, AWS","Access professional development workshops hosted by domain experts on topics ranging from how to be a top consultant, how to apply the agile methodology, data &…&hellip;...","https://www.glassdoor.ca/job-listing/fall-2025-generative-ai-co-op-sept-dec-2025-term-cgi-JV_IC2281069_KO0,48_KE49,52.htm?jl=1009793453022"
"Intern, Supplier Management (Fall 2025)",Bombardier,Mississauga,Not specified,"TensorFlow, Power BI, Microsoft Access, Azure, Procurement","You are studying a degree in data science & business analytics, Computer Science, Mathematics, Statistics, or a related field.&hellip;...","https://www.glassdoor.ca/job-listing/intern-supplier-management-fall-2025-bombardier-JV_IC2280741_KO0,36_KE37,47.htm?jl=1009802316380"
"ML Compiler Software Engineer PEY Co-op (12-16 months), Annapurna ML",Amazon Development Centre Canada ULC,Toronto,$171K - $185K (Glassdoor Est.),"TensorFlow, C#, Java, OOP, AWS","Currently enrolled in a Bachelor’s degree program or higher majoring in Computer Science, Computer Engineering, Electrical Engineering or related technical…&hellip;...","https://www.glassdoor.ca/job-listing/ml-compiler-software-engineer-pey-co-op-12-16-months-annapurna-ml-amazon-development-centre-canada-ulc-JV_IC2281069_KO0,65_KE66,102.htm?jl=1009442109700"
"Business Development, Tech & A.I. Integration Intern",The Harris Brand,Mississauga,Not specified,"CRM software, Digital marketing, APIs","Interested in entrepreneurship, education, social impact, and youth development. Exposure to A.I. integration in social-sector projects.&hellip;...","https://www.glassdoor.ca/job-listing/business-development-tech-ai-integration-intern-the-harris-brand-JV_IC2280741_KO0,47_KE48,64.htm?jl=1009793889072"
Intern Business Intelligence Analyst,NexGen Tech Solutions,Hamilton,Not specified,"Power BI, Business intelligence, Spark, Data analysis skills, Tableau","Good understanding of development processes and best practices like engineering standards, code reviews, and testing. Proficiency in SQL and Python.&hellip;...","https://www.glassdoor.ca/job-listing/intern-business-intelligence-analyst-nexgen-tech-solutions-JV_IC2285197_KO0,36_KE37,58.htm?jl=1009766614676"
